Epoch:  2 |train loss: 1.2132 验证集上准确率： 0.48729792
Epoch:  2 |train loss: 1.2433 验证集上准确率： 0.4965358
Epoch:  2 |train loss: 1.0299 验证集上准确率： 0.5092379
Epoch:  2 |train loss: 1.3823 验证集上准确率： 0.51501155
Epoch:  2 |train loss: 0.9600 验证集上准确率： 0.5092379
Epoch:  2 |train loss: 1.3524 验证集上准确率： 0.50461894
Epoch:  2 |train loss: 1.1997 验证集上准确率： 0.5034642
Epoch:  2 |train loss: 1.1834 验证集上准确率： 0.5092379
Epoch:  2 |train loss: 1.3473 验证集上准确率： 0.51501155
Epoch:  2 |train loss: 1.2951 验证集上准确率： 0.5103926
Epoch:  2 |train loss: 1.0167 验证集上准确率： 0.50577366
Epoch:  2 |train loss: 1.3715 验证集上准确率： 0.5011547
Epoch:  2 |train loss: 1.4819 验证集上准确率： 0.5011547
Epoch:  2 |train loss: 1.2709 验证集上准确率： 0.5011547
Epoch:  2 |train loss: 1.1670 验证集上准确率： 0.51616627
Epoch:  2 |train loss: 1.3411 验证集上准确率： 0.52424943
Epoch:  2 |train loss: 1.3095 验证集上准确率： 0.5265589
Epoch:  2 |train loss: 1.3541 验证集上准确率： 0.5311778
Epoch:  2 |train loss: 1.0553 验证集上准确率： 0.53579676
Epoch:  2 |train loss: 1.1158 验证集上准确率： 0.54272515
Epoch:  2 |train loss: 1.5055 验证集上准确率： 0.53233254
Epoch:  2 |train loss: 1.4392 验证集上准确率： 0.5184758
Epoch:  2 |train loss: 1.1455 验证集上准确率： 0.53464204
Epoch:  2 |train loss: 1.2459 验证集上准确率： 0.5311778
Epoch:  2 |train loss: 1.5190 验证集上准确率： 0.5415704
Epoch:  2 |train loss: 1.3701 验证集上准确率： 0.53233254
Epoch:  2 |train loss: 1.4874 验证集上准确率： 0.5184758
Epoch:  2 |train loss: 1.4922 验证集上准确率： 0.48729792
Epoch:  2 |train loss: 1.1755 验证集上准确率： 0.5011547
Epoch:  2 |train loss: 1.4008 验证集上准确率： 0.46766743
Epoch:  2 |train loss: 1.5443 验证集上准确率： 0.5103926
Epoch:  2 |train loss: 1.3887 验证集上准确率： 0.5265589
Epoch:  2 |train loss: 1.2348 验证集上准确率： 0.5230947
Epoch:  2 |train loss: 1.3839 验证集上准确率： 0.5438799
Epoch:  2 |train loss: 1.4492 验证集上准确率： 0.54849887
Epoch:  2 |train loss: 1.4818 验证集上准确率： 0.5588915
Epoch:  2 |train loss: 1.3204 验证集上准确率： 0.5277136
Epoch:  2 |train loss: 1.4802 验证集上准确率： 0.5334873
Epoch:  3 |train loss: 1.3153 验证集上准确率： 0.51616627
Epoch:  3 |train loss: 1.4713 验证集上准确率： 0.5034642
Epoch:  3 |train loss: 1.2516 验证集上准确率： 0.5288684
Epoch:  3 |train loss: 1.1071 验证集上准确率： 0.5300231
Epoch:  3 |train loss: 1.5766 验证集上准确率： 0.54272515
Epoch:  3 |train loss: 1.3678 验证集上准确率： 0.55542725
Epoch:  3 |train loss: 1.2719 验证集上准确率： 0.54503465
Epoch:  3 |train loss: 1.5520 验证集上准确率： 0.5300231
Epoch:  3 |train loss: 1.4712 验证集上准确率： 0.5334873
Epoch:  3 |train loss: 1.0582 验证集上准确率： 0.5196305
Epoch:  3 |train loss: 1.1237 验证集上准确率： 0.5011547
Epoch:  3 |train loss: 1.3104 验证集上准确率： 0.48845264
Epoch:  3 |train loss: 1.1633 验证集上准确率： 0.51501155
Epoch:  3 |train loss: 1.4504 验证集上准确率： 0.43071595
Epoch:  3 |train loss: 1.1462 验证集上准确率： 0.4861432
Epoch:  3 |train loss: 1.3229 验证集上准确率： 0.54618937
Epoch:  3 |train loss: 1.2677 验证集上准确率： 0.5265589
Epoch:  3 |train loss: 1.4587 验证集上准确率： 0.5288684
Epoch:  3 |train loss: 1.5061 验证集上准确率： 0.5277136
Epoch:  3 |train loss: 1.0608 验证集上准确率： 0.5207852
Epoch:  3 |train loss: 1.3538 验证集上准确率： 0.5196305
Epoch:  3 |train loss: 1.5131 验证集上准确率： 0.53810626
Epoch:  3 |train loss: 1.3071 验证集上准确率： 0.5692841
Epoch:  3 |train loss: 1.0549 验证集上准确率： 0.54849887
Epoch:  3 |train loss: 1.3117 验证集上准确率： 0.5300231
Epoch:  3 |train loss: 1.0249 验证集上准确率： 0.5230947
Epoch:  3 |train loss: 1.3710 验证集上准确率： 0.54272515
Epoch:  3 |train loss: 1.1706 验证集上准确率： 0.55542725
Epoch:  3 |train loss: 1.4924 验证集上准确率： 0.5531178
Epoch:  3 |train loss: 1.7400 验证集上准确率： 0.5577367
Epoch:  3 |train loss: 1.1760 验证集上准确率： 0.56581986
Epoch:  3 |train loss: 1.3752 验证集上准确率： 0.55196303
Epoch:  3 |train loss: 1.2880 验证集上准确率： 0.5773672
Epoch:  3 |train loss: 1.4699 验证集上准确率： 0.517321
Epoch:  3 |train loss: 1.5823 验证集上准确率： 0.4861432
Epoch:  3 |train loss: 1.3322 验证集上准确率： 0.5069284
Epoch:  3 |train loss: 1.3548 验证集上准确率： 0.53233254
Epoch:  3 |train loss: 1.4900 验证集上准确率： 0.53464204
Epoch:  3 |train loss: 1.4362 验证集上准确率： 0.5288684
Epoch:  3 |train loss: 1.4646 验证集上准确率： 0.5369515
Epoch:  3 |train loss: 1.4506 验证集上准确率： 0.5531178
Epoch:  3 |train loss: 1.2850 验证集上准确率： 0.5577367
Epoch:  3 |train loss: 1.2022 验证集上准确率： 0.5404157
Epoch:  3 |train loss: 1.1505 验证集上准确率： 0.5438799
Epoch:  4 |train loss: 1.4796 验证集上准确率： 0.5473441
Epoch:  4 |train loss: 1.5170 验证集上准确率： 0.54849887
Epoch:  4 |train loss: 1.5495 验证集上准确率： 0.54272515
Epoch:  4 |train loss: 1.4506 验证集上准确率： 0.5334873
Epoch:  4 |train loss: 1.3668 验证集上准确率： 0.5230947
Epoch:  4 |train loss: 1.2870 验证集上准确率： 0.51501155
Epoch:  4 |train loss: 1.0026 验证集上准确率： 0.556582
Epoch:  4 |train loss: 1.1842 验证集上准确率： 0.5438799
Epoch:  4 |train loss: 1.3262 验证集上准确率： 0.5184758
Epoch:  4 |train loss: 1.3869 验证集上准确率： 0.55196303
Epoch:  4 |train loss: 1.2511 验证集上准确率： 0.56581986
Epoch:  4 |train loss: 1.2065 验证集上准确率： 0.5704388
Epoch:  4 |train loss: 1.3389 验证集上准确率： 0.55427253
Epoch:  4 |train loss: 1.3575 验证集上准确率： 0.55542725
Epoch:  4 |train loss: 1.3660 验证集上准确率： 0.55542725
Epoch:  4 |train loss: 1.5219 验证集上准确率： 0.5635104
Epoch:  4 |train loss: 1.4004 验证集上准确率： 0.57852197
Epoch:  4 |train loss: 1.3414 验证集上准确率： 0.5473441
Epoch:  4 |train loss: 1.3729 验证集上准确率： 0.5600462
Epoch:  4 |train loss: 1.5040 验证集上准确率： 0.5808314
Epoch:  4 |train loss: 1.3246 验证集上准确率： 0.5819861
Epoch:  4 |train loss: 1.3038 验证集上准确率： 0.5612009
Epoch:  4 |train loss: 1.6322 验证集上准确率： 0.58314085
Epoch:  4 |train loss: 1.2693 验证集上准确率： 0.53464204
Epoch:  4 |train loss: 1.3515 验证集上准确率： 0.5196305
Epoch:  4 |train loss: 1.1166 验证集上准确率： 0.5600462
Epoch:  4 |train loss: 1.2480 验证集上准确率： 0.54503465
Epoch:  4 |train loss: 1.4894 验证集上准确率： 0.5577367
Epoch:  4 |train loss: 1.1271 验证集上准确率： 0.5704388
Epoch:  4 |train loss: 1.3089 验证集上准确率： 0.5773672
Epoch:  4 |train loss: 1.4548 验证集上准确率： 0.57505774
Epoch:  4 |train loss: 1.2904 验证集上准确率： 0.5692841
Epoch:  4 |train loss: 1.3833 验证集上准确率： 0.5635104
Epoch:  4 |train loss: 1.1525 验证集上准确率： 0.5692841
Epoch:  4 |train loss: 1.3384 验证集上准确率： 0.58429563
Epoch:  4 |train loss: 1.0570 验证集上准确率： 0.5900693
Epoch:  4 |train loss: 1.1360 验证集上准确率： 0.5969977
Epoch:  4 |train loss: 1.6523 验证集上准确率： 0.58545035
Epoch:  4 |train loss: 1.2294 验证集上准确率： 0.5635104
Epoch:  4 |train loss: 1.0288 验证集上准确率： 0.57852197
Epoch:  4 |train loss: 1.5129 验证集上准确率： 0.58429563
Epoch:  4 |train loss: 1.2905 验证集上准确率： 0.6096998
Epoch:  4 |train loss: 1.3198 验证集上准确率： 0.5889146
Epoch:  4 |train loss: 1.1496 验证集上准确率： 0.5981524
Epoch:  5 |train loss: 1.2482 验证集上准确率： 0.5969977
